"Bill of Material for "
"On 12/15/2018 at 5:25:32 PM"

"Comment","Pattern","Quantity","Components"

"108CKS100MRY","CAP 7.5mm Bent Reverse","1","C39","CAP 7.5mm Radial 1000uF 100V"
"63849-1","63849-1","6","JAA, JAB, JBA, JBB, JCA, JCB","SPADE CONNECTOR BOARD MOUNT"
"B05B-PASK","B05B-PASK","2","JHA, JHB",""
"C0402C103K5RACTU","CAP 0402","2","C21A, C21B","CAP 0402 10nF 50V"
"C0402C104K3RACTU","CAP 0402","3","C3A, C3B, C10","CAP 0402 100nF 10V"
"C0402C225M8PACTU","CAP 0402","1","C22A","CAP 0402 2.2uF 10V"
"C0603C473K1RECAUTO","CAP 0603","2","C19A, C19B","CAP 0603 47nF 100V (X7R DIELECTRIC)"
"C2012X5R1E106K125AB","CAP 1206","2","C33A, C33B","CAP 1206 10uF 25V"
"CGA6M3X7S2A475M200AB","CAP 1210","6","C35A, C35B, C36A, C36B, C37A, C37B","CAP 1206 4.7uF 100V"
"CSD19531Q5A","VSONP-8","12","Q1A, Q1B, Q2A, Q2B, Q3A, Q3B, Q4A, Q4B, Q5A, Q5B, Q6A, Q6B","100V 100A VSONP-8 5.3mOhm Pwr MOSFET"
"CSTNE8M00G550000R0","MuRata CSTN","2","Y1A, Y1B","Ceramic Resonator 8.0000MHz 33pf 0.5%"
"DRV8353RH","QFN-48 - P0.5MM","2","U3A, U3B","100V Three Phase Gate Driver With 3 Current Shunt Amplifiers and Buck Regulator"
"ERJ-2RKF1000X","RES 0402","16","R25A, R25B, R26A, R26B, R27A, R27B, R28A, R28B, R29A, R29B, R30A, R30B, R31A, R31B, R32A, R32B","RES 0402 100R 1%"
"ERJ-2RKF1002X","RES 0402","9","R13, R16A, R16B, R17A, R17B, R18A, R18B, R34A, R34B","RES 0402 10k 1%"
"ERJ-2RKF1003X","RES 0402","1","R36B","RES 0402 100k 1%"
"ERJ-2RKF1333X","RES 0402","1","R36A","RES 0402 133k 1%"
"ERJ-2RKF2201X","RES 0402","16","R11, R12, R13A, R13B, R14A, R14B, R15A, R15B, R20A, R20B, R22A, R22B, R24A, R24B, R39A, R39B","RES 0402 2.2k 1%"
"ERJ-2RKF2611X","RES 0402","1","R33B","RES 0402 2.61k 1%"
"ERJ-2RKF2743X","RES 0402","2","R35A, R35B","RES 0402 274k 1%"
"ERJ-2RKF3162X","RES 0402","1","R33A","RES 0402 31.6k 1%"
"ERJ-2RKF3902X","RES 0402","12","R7A, R7B, R8A, R8B, R9A, R9B, R19A, R19B, R21A, R21B, R23A, R23B","RES 0402 39k 1%"
"ERJ-2RKF4702X","RES 0402","2","R37A, R37B","RES 0402 47k 1%"
"ERJ-PA3J4R7V","RES 0402","12","R1A, R1B, R2A, R2B, R3A, R3B, R4A, R4B, R5A, R5B, R6A, R6B","RES 0402 4.7R 5%"
"ERT-J0EG202GM","RES 0402","1","R10","NTC THERMISTOR 0402 2k 2%"
"GCM1555C1H180JA16D","CAP 0402","4","C1A, C1B, C2A, C2B","CAP 0402 18pF 50V (NP0 Dielectric)"
"GCM155R72A222KA37D","CAP 0402","12","C12A, C12B, C13A, C13B, C14A, C14B, C15A, C15B, C16A, C16B, C17A, C17B","CAP 0402 2.2nF 100V (X7R DIELECTRIC)"
"GRJ31CR72A105KE11L","CAP 1206","2","C20A, C20B","CAP 1206 1uF 100V"
"GRM155C81C225ME15D","CAP 0402","27","C4A, C4B, C5A, C5B, C6A, C6B, C7A, C7B, C8A, C8B, C9A, C9B, C10A, C10B, C11A, C11B, C18A, C18B, C22B, C23A, C23B, C30A, C30B, C34A, C34B, C38A, C38B","CAP 0402 2.2uF 16V"
"HEADER_14P1","HEADER_14P1_FEMALE_TH","3","J10, J11, J12","2.54mm Header 14 Pin 1 Row"
"LTST-C190KRKT","LED 0603","4","D1A, D1B, D2A, D2B","RED LED"
"NSR02100HT1G","SOD-323/SC76","2","D3A, D3B","Schottky Diodes & Rectifiers 100V"
"NX7002AKVL","SOT-23-3","2","Q7A, Q7B","MOSFET 60V 190mA"
"SDE0805A-331K","SDE0805A","2","L1A, L1B","Fixed Inductors 330uH 10% SMD 0805 AEC-Q200"
"STM32F405RGT6","QFP-64 - P0.5MM","2","U1A, U1B","Cortex M4 MCU"
"WSLF2512L5000FEA","RES 2512","6","R10A, R10B, R11A, R11B, R12A, R12B","RES 2512 0.5mOhm 1%"
"XT30_S","XT30 SOCKET","1","JB","XT30 SOCKET"
