Added Component: Designator=U3(QFN-48 - P0.5MM)
Added Pin To Net: NetName=GND Pin=U3-1
Added Pin To Net: NetName=NetC18_1 Pin=U3-2
Added Pin To Net: NetName=NetC22_1 Pin=U3-3
Added Pin To Net: NetName=NetC22_2 Pin=U3-4
Added Pin To Net: NetName=NetC29_1 Pin=U3-5
Added Pin To Net: NetName=NetC29_1 Pin=U3-6
Added Pin To Net: NetName=NetC29_2 Pin=U3-7
Added Pin To Net: NetName=M_H1 Pin=U3-8
Added Pin To Net: NetName=H1_VS Pin=U3-9
Added Pin To Net: NetName=M_L1 Pin=U3-10
Added Pin To Net: NetName=H1_LOW Pin=U3-11
Added Pin To Net: NetName=H2_LOW Pin=U3-14
Added Pin To Net: NetName=M_L2 Pin=U3-15
Added Pin To Net: NetName=H2_VS Pin=U3-16
Added Pin To Net: NetName=M_H2 Pin=U3-17
Added Pin To Net: NetName=M_H3 Pin=U3-18
Added Pin To Net: NetName=H3_VS Pin=U3-19
Added Pin To Net: NetName=M_L3 Pin=U3-20
Added Pin To Net: NetName=H3_LOW Pin=U3-21
Added Pin To Net: NetName=CURRENT_C Pin=U3-23
Added Pin To Net: NetName=CURRENT_B Pin=U3-24
Added Pin To Net: NetName=CURRENT_A Pin=U3-25
Added Pin To Net: NetName=VCC Pin=U3-26
Added Pin To Net: NetName=AGND Pin=U3-27
Added Pin To Net: NetName=DVDD Pin=U3-29
Added Pin To Net: NetName=DVDD Pin=U3-30
Added Pin To Net: NetName=DVDD Pin=U3-31
Added Pin To Net: NetName=NetR0_1 Pin=U3-32
Added Pin To Net: NetName=EN_GATE Pin=U3-33
Added Pin To Net: NetName=H1 Pin=U3-34
Added Pin To Net: NetName=L1 Pin=U3-35
Added Pin To Net: NetName=H2 Pin=U3-36
Added Pin To Net: NetName=L2 Pin=U3-37
Added Pin To Net: NetName=H3 Pin=U3-38
Added Pin To Net: NetName=L3 Pin=U3-39
Added Pin To Net: NetName=DVDD Pin=U3-40
Added Pin To Net: NetName=GND Pin=U3-41
Added Pin To Net: NetName=NetC27_2 Pin=U3-42
Added Pin To Net: NetName=V_SUPPLY Pin=U3-43
Added Pin To Net: NetName=NetC21_2 Pin=U3-44
Added Pin To Net: NetName=NetC27_1 Pin=U3-45
Added Pin To Net: NetName=NetR2_1 Pin=U3-46
Added Pin To Net: NetName=NetR17_1 Pin=U3-48
Added Member To Class: ClassName=Vesc Member=Component U3 DRV8353RH
